year,month,ncm,commodity,subtype,description,country_code,country_name,qt_estat,kg_net,mt,bales_480lb,fob_usd
1997,2,10059010,corn,yellow_corn,Yellow dent corn,820,Unknown,0,24879244,24879.244,114269.64,2960630
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,023,Albania,28517,28516400,28516.4,130975.0,7721534
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,023,Albania,983,983190,983.19,4515.76,269394
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,097,Unknown,0,500,0.5,2.3,848
1997,2,15071000,soybeans,soybean_oil,Crude soybean oil,160,United Arab Emirates,14000,13999999,13999.999,64301.59,7490000
1997,2,15071000,soybeans,soybean_oil,Crude soybean oil,160,United Arab Emirates,2265,2265000,2265.0,10403.08,1176564
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,161,Unknown,0,20460,20.46,93.97,9208
1997,2,12010090,soybeans,raw_soybeans,Raw soybeans not for sowing,199,Gibraltar,305,305000,305.0,1400.86,87840
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,232,Yemen,432,432460,432.46,1986.28,120873
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,244,Unknown,0,510,0.51,2.34,308
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,245,Unknown,10200,10200000,10200.0,46848.3,2838132
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,10126,10126110,10126.11,46508.93,2605026
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,11025,11025000,11025.0,50637.5,3100230
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,36190,36189890,36189.89,166219.11,9667633
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,2028,2028000,2028.0,9314.55,545532
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,2853,2853705,2853.705,13106.98,817496
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,2019,2019000,2019.0,9273.21,543111
1997,2,23040090,soybeans,soybean_meal,Soybean oilcake residues other,275,Unknown,34311,34310712,34310.712,157588.1,9275767
